lat,lon,neighs_5,neighs_10,neighs_30
40.62363638,-73.79821284,Noise - Residential,Noise - Residential,Noise - Residential
40.714538,-74.04050769,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.58644936,-73.77348888,Noise - Residential,Noise - Residential,Noise - Residential
40.7599888,-73.80315764,Noise - Residential,Noise - Residential,Noise - Residential
40.73932935,-74.15918272,Noise - Residential,Noise - Commercial,Noise - Residential
40.80130772,-74.10479,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.83023096,-74.22840982,Noise - Vehicle,Noise - Residential,Noise - Residential
40.7641207,-74.08006604,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.50381152,-74.18885148,Noise - Residential,Noise - Commercial,Noise - Residential
40.79304394,-74.20368586,Noise - Vehicle,Noise - Residential,Noise - Residential
40.84675853,-73.86743994,Noise - Residential,Noise - Residential,Noise - Residential
40.87568177,-73.99105977,Noise - Vehicle,Noise - Commercial,Noise - Street/Sidewalk
40.72693367,-74.05534207,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.8095715,-73.84271598,Noise - Street/Sidewalk,Noise - Street/Sidewalk,Noise - Vehicle
40.54926233,-73.95150142,Noise - Residential,Noise - Residential,Noise - Commercial
40.51207531,-73.92677746,Noise - Vehicle,Noise - Commercial,Noise - Commercial
40.87154988,-73.78832326,Noise - Commercial,Noise - Commercial,Noise - Vehicle
40.57405368,-73.87238474,Noise - Commercial,Noise - Residential,Noise - Residential
40.89634123,-73.90699829,Noise - Residential,Noise - Residential,Noise - Residential
40.5162072,-74.20368586,Noise - Residential,Noise - Residential,Noise - Commercial
40.59884503,-73.99105977,Noise - Commercial,Noise - Residential,Noise - Vehicle
40.87568177,-74.06523166,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.90460501,-74.18885148,Noise - Helicopter,Noise - Commercial,Noise - Helicopter
40.68974665,-74.23335462,Noise - Residential,Noise - Residential,Noise - Residential
40.54926233,-74.02567332,Noise - Residential,Noise - Residential,Noise - Residential
40.83849475,-74.04050769,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.66082341,-73.93666704,Noise - Residential,Noise - Commercial,Noise - Vehicle
40.51207531,-74.00094935,Noise - Residential,Noise - Residential,Noise - Residential
40.59471314,-73.78832326,Noise - Residential,Noise - Residential,Noise - Residential
40.62363638,-73.91194308,Noise - Residential,Noise - Residential,Noise - Residential
40.55752612,-73.76359929,Noise - Residential,Noise - Residential,Noise - Residential
40.77238448,-74.09490042,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.80130772,-74.21852024,Noise - Vehicle,Noise - Residential,Noise - Residential
40.84675853,-73.98117018,Noise - Street/Sidewalk,Noise - Street/Sidewalk,Noise - Street/Sidewalk
40.70627421,-73.77348888,Noise - Residential,Noise - Commercial,Noise - Residential
40.73519746,-73.8971087,Noise - Residential,Noise - Vehicle,Noise - Vehicle
40.52033909,-73.94161184,Noise - Residential,Noise - Commercial,Noise - Commercial
40.69801043,-73.87238474,Noise - Street/Sidewalk,Noise - Vehicle,Noise - Commercial
40.82196718,-74.13445876,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.52447098,-74.21852024,Noise - Residential,Noise - Residential,Noise - Commercial
40.88394555,-74.08006604,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.56992179,-73.98117018,Noise - Street/Sidewalk,Noise - Residential,Noise - Residential
40.84675853,-74.05534207,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.87568177,-74.17896189,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.52033909,-74.01578373,Noise - Residential,Noise - Residential,Noise - Residential
40.54926233,-74.13940355,Noise - Commercial,Noise - Commercial,Noise - Residential
40.8095715,-74.03061811,Noise - Commercial,Noise - Residential,Noise - Helicopter
40.63190016,-73.92677746,Noise - Residential,Noise - Commercial,Noise - Commercial
40.5657899,-73.77843367,Noise - Residential,Noise - Residential,Noise - Residential
40.59471314,-73.90205349,Noise - Commercial,Noise - Residential,Noise - Residential
40.89634123,-74.09490042,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.63603206,-74.20368586,Noise - Street/Sidewalk,Noise - Residential,Noise - Residential
40.59884503,-74.17896189,Noise - Residential,Noise - Residential,Noise - Residential
40.68148286,-73.9663358,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.77238448,-74.20863065,Noise - Vehicle,Noise - Residential,Noise - Residential
40.63190016,-74.00094935,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.66082341,-74.12456917,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.74346124,-73.91194308,Noise - Vehicle,Noise - Commercial,Noise - Commercial
40.62363638,-74.09984521,Noise - Commercial,Noise - Helicopter,Noise - Residential
40.67735097,-73.76359929,Noise - Commercial,Noise - Residential,Noise - Residential
40.70627421,-73.88721912,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.82196718,-74.24818899,Noise - Residential,Noise - Residential,Noise - Residential
40.71040611,-74.16412752,Noise - Vehicle,Noise - Commercial,Noise - Residential
40.57818557,-73.99600456,Noise - Residential,Noise - Residential,Noise - Residential
40.88394555,-74.19379627,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.75585691,-73.92677746,Noise - Vehicle,Noise - Commercial,Noise - Commercial
40.54099855,-73.97128059,Noise - Vehicle,Noise - Street/Sidewalk,Noise - Residential
40.73519746,-74.08501083,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.52033909,-74.12951397,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.81783529,-73.87238474,Noise - Vehicle,Noise - Street/Sidewalk,Noise - Street/Sidewalk
40.60297692,-73.91688787,Noise - Residential,Noise - Residential,Noise - Residential
40.78064826,-73.84766077,Noise - Vehicle,Noise - Vehicle,Noise - Vehicle
40.5657899,-73.89216391,Noise - Commercial,Noise - Commercial,Noise - Residential
40.60710881,-74.19379627,Noise - Residential,Noise - Residential,Noise - Residential
40.89634123,-74.20863065,Noise - Helicopter,Noise - Helicopter,Noise - Commercial
40.75585691,-74.00094935,Noise - Residential,Noise - Residential,Noise - Helicopter
40.54099855,-74.04545249,Noise - Commercial,Noise - Commercial,Noise - Residential
40.56992179,-74.16907231,Noise - Residential,Noise - Residential,Noise - Residential
40.86741799,-73.91194308,Noise - Vehicle,Noise - Vehicle,Noise - Vehicle
40.65255962,-73.95644622,Noise - Residential,Noise - Residential,Noise - Vehicle
40.63190016,-74.11467959,Noise - Commercial,Noise - Helicopter,Noise - Commercial
40.714538,-73.90205349,Noise - Residential,Noise - Vehicle,Noise - Commercial
40.89220934,-73.83282639,Noise - Residential,Noise - Commercial,Noise - Commercial
40.67735097,-73.87732953,Noise - Residential,Noise - Residential,Noise - Commercial
40.71866989,-74.17896189,Noise - Vehicle,Noise - Residential,Noise - Residential
40.68148286,-74.15423793,Noise - Residential,Noise - Commercial,Noise - Residential
40.7641207,-73.94161184,Noise - Residential,Noise - Commercial,Noise - Residential
40.72693367,-73.91688787,Noise - Commercial,Noise - Residential,Noise - Commercial
40.74346124,-74.09984521,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.70627421,-74.07512124,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.78891205,-73.86249515,Noise - Commercial,Noise - Vehicle,Noise - Vehicle
40.79304394,-74.13940355,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.57818557,-74.18390669,Noise - Residential,Noise - Residential,Noise - Residential
40.75585691,-74.11467959,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.54099855,-74.15918272,Noise - Vehicle,Noise - Commercial,Noise - Residential
40.83849475,-73.90205349,Noise - Residential,Noise - Street/Sidewalk,Noise - Vehicle
40.51207531,-73.86249515,Noise - Commercial,Noise - Commercial,Noise - Residential
40.81783529,-74.06028687,Noise - Residential,Noise - Commercial,Noise - Commercial
40.60297692,-74.10479,Noise - Residential,Noise - Residential,Noise - Residential
40.90047312,-73.84766077,Noise - Vehicle,Noise - Commercial,Noise - Commercial
40.57405368,-73.80810243,Noise - Residential,Noise - Residential,Noise - Residential
40.8632861,-73.82293681,Noise - Vehicle,Noise - Vehicle,Noise - Commercial
40.53686666,-73.78337847,Noise - Residential,Noise - Residential,Noise - Residential
40.62776827,-74.22346503,Noise - Residential,Noise - Residential,Noise - Residential
40.90460501,-74.12456917,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.68974665,-74.16907231,Noise - Vehicle,Noise - Residential,Noise - Residential
40.86741799,-74.09984521,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.65255962,-74.14434834,Noise - Commercial,Noise - Commercial,Noise - Residential
40.714538,-74.08995562,Noise - Helicopter,Noise - Commercial,Noise - Commercial
40.58644936,-73.82293681,Noise - Vehicle,Noise - Vehicle,Noise - Residential
40.7599888,-73.85260557,Noise - Vehicle,Noise - Vehicle,Noise - Commercial
40.64842773,-73.76854409,Noise - Residential,Noise - Residential,Noise - Residential
40.80130772,-74.15423793,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.7641207,-74.12951397,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.50381152,-74.23829941,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.79304394,-74.25313379,Noise - Residential,Noise - Residential,Noise - Residential
40.84675853,-73.91688787,Noise - Residential,Noise - Residential,Noise - Residential
40.72693367,-74.10479,Noise - Helicopter,Noise - Commercial,Noise - Commercial
40.8095715,-73.89216391,Noise - Street/Sidewalk,Noise - Commercial,Noise - Vehicle
40.69801043,-73.80810243,Noise - Vehicle,Noise - Vehicle,Noise - Residential
40.51207531,-73.97622539,Noise - Street/Sidewalk,Noise - Street/Sidewalk,Noise - Residential
40.78891205,-74.05039728,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.87154988,-73.83777119,Noise - Vehicle,Noise - Residential,Noise - Residential
40.54513044,-73.79821284,Noise - Residential,Noise - Residential,Noise - Residential
40.57405368,-73.92183267,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.50794342,-73.77348888,Noise - Residential,Noise - Residential,Noise - Residential
40.5162072,-74.25313379,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.87568177,-74.11467959,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.90460501,-74.23829941,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.83849475,-74.08995562,Noise - Residential,Noise - Commercial,Noise - Commercial
40.66082341,-73.98611497,Noise - Commercial,Noise - Commercial,Noise - Helicopter
40.51207531,-74.05039728,Noise - Vehicle,Noise - Vehicle,Noise - Commercial
40.59471314,-73.83777119,Noise - Residential,Noise - Residential,Noise - Residential
40.62363638,-73.96139101,Noise - Residential,Noise - Residential,Noise - Residential
40.90047312,-74.0355629,Noise - Vehicle,Noise - Vehicle,Noise - Street/Sidewalk
40.55752612,-73.81304722,Noise - Residential,Noise - Residential,Noise - Residential
40.58644936,-73.93666704,Noise - Commercial,Noise - Commercial,Noise - Residential
40.77238448,-74.14434834,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.7641207,-74.2432442,Noise - Residential,Noise - Residential,Noise - Commercial
40.62363638,-74.0355629,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.73519746,-73.94655663,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.58644936,-74.01083894,Noise - Residential,Noise - Residential,Noise - Residential
40.52033909,-73.99105977,Noise - Residential,Noise - Residential,Noise - Residential
40.66908719,-73.79821284,Noise - Residential,Noise - Residential,Noise - Residential
40.69801043,-73.92183267,Noise - Street/Sidewalk,Noise - Street/Sidewalk,Noise - Vehicle
40.54513044,-73.91194308,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.88394555,-74.12951397,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.84675853,-74.10479,Noise - Residential,Noise - Commercial,Noise - Helicopter
40.87568177,-74.22840982,Noise - Vehicle,Noise - Helicopter,Noise - Helicopter
40.73519746,-74.02072852,Noise - Street/Sidewalk,Noise - Commercial,Noise - Commercial
40.52033909,-74.06523166,Noise - Vehicle,Noise - Vehicle,Noise - Commercial
40.54926233,-74.18885148,Noise - Vehicle,Noise - Commercial,Noise - Residential
40.8095715,-74.08006604,Noise - Helicopter,Noise - Helicopter,Noise - Commercial
40.63190016,-73.97622539,Noise - Residential,Noise - Residential,Noise - Residential
40.51207531,-74.16412752,Noise - Commercial,Noise - Commercial,Noise - Residential
40.78064826,-73.78337847,Noise - Residential,Noise - Commercial,Noise - Residential
40.5657899,-73.8278816,Noise - Residential,Noise - Residential,Noise - Residential
40.59471314,-73.95150142,Noise - Residential,Noise - Residential,Noise - Residential
40.87154988,-74.02567332,Noise - Street/Sidewalk,Noise - Street/Sidewalk,Noise - Street/Sidewalk
