year,month,zipcode,Unique_Key
2019,1,10000,1
2019,1,10001,178
2019,1,10002,397
2019,1,10003,282
2019,1,10004,20
2019,1,10005,72
2019,1,10006,21
2019,1,10007,28
2019,1,10009,408
2019,1,10010,188
2019,1,10011,311
2019,1,10012,203
2019,1,10013,188
2019,1,10014,143
2019,1,10016,262
2019,1,10017,113
2019,1,10018,40
2019,1,10019,227
2019,1,10020,1
2019,1,10021,122
2019,1,10022,180
2019,1,10023,186
2019,1,10024,258
2019,1,10025,330
2019,1,10026,315
2019,1,10027,360
2019,1,10028,154
2019,1,10029,417
2019,1,10030,199
2019,1,10031,484
2019,1,10032,333
2019,1,10033,446
2019,1,10034,394
2019,1,10035,188
2019,1,10036,141
2019,1,10037,83
2019,1,10038,147
2019,1,10039,210
2019,1,10040,363
2019,1,10044,22
2019,1,10065,63
2019,1,10069,4
2019,1,10075,69
2019,1,10128,256
2019,1,10162,1
2019,1,10167,1
2019,1,10169,1
2019,1,10174,4
2019,1,10280,10
2019,1,10281,1
2019,1,10301,383
2019,1,10302,34
2019,1,10303,43
2019,1,10304,71
2019,1,10305,41
2019,1,10306,64
2019,1,10307,18
2019,1,10308,16
2019,1,10309,20
2019,1,10310,51
2019,1,10312,54
2019,1,10314,64
2019,1,10451,243
2019,1,10452,365
2019,1,10453,397
2019,1,10454,160
2019,1,10455,155
2019,1,10456,403
2019,1,10457,440
2019,1,10458,422
2019,1,10459,205
2019,1,10460,189
2019,1,10461,149
2019,1,10462,291
2019,1,10463,347
2019,1,10464,11
2019,1,10465,89
2019,1,10466,193
2019,1,10467,560
2019,1,10468,451
2019,1,10469,93
2019,1,10470,103
2019,1,10471,82
2019,1,10472,254
2019,1,10473,142
2019,1,10474,55
2019,1,10475,19
2019,1,11001,1
2019,1,11004,9
2019,1,11101,256
2019,1,11102,142
2019,1,11103,190
2019,1,11104,131
2019,1,11105,123
2019,1,11106,157
2019,1,11109,4
2019,1,11201,290
2019,1,11203,102
2019,1,11204,67
2019,1,11205,219
2019,1,11206,407
2019,1,11207,240
2019,1,11208,155
2019,1,11209,187
2019,1,11210,133
2019,1,11211,327
2019,1,11212,257
2019,1,11213,201
2019,1,11214,125
2019,1,11215,173
2019,1,11216,270
2019,1,11217,253
2019,1,11218,138
2019,1,11219,96
2019,1,11220,181
2019,1,11221,363
2019,1,11222,213
2019,1,11223,133
2019,1,11224,126
2019,1,11225,282
2019,1,11226,439
